record_id,student_id,student_name,lecture_id,lecture_name,lecturer_id,lecturer_name,course_id,course_code,course_name,group_id,group_name,academic_week,timestamp,time,time_minute,emotion,confidence,engagement_score,focus_score,attendance_status,is_present,left_room,absence_duration_minutes,source_type,model_name
1,S001,Linda,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:03:40Z,08:03,0,Bored,0.97,0.17,0.82,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
2,S002,Rawan,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:01:16Z,08:01,0,Neutral,0.91,0.68,0.85,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
3,S003,Student 3,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:04:31Z,08:04,0,Happy,0.98,1,0.77,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
4,S004,Student 4,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:04:31Z,08:04,0,Neutral,0.99,0.73,0.78,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
5,S005,Student 5,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:00:01Z,08:00,0,Happy,0.95,0.98,0.74,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
6,S006,Student 6,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:02:10Z,08:02,0,Confused,0.75,0.36,0.81,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
7,S007,Student 7,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:04:51Z,08:04,0,Neutral,0.98,0.64,0.91,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
8,S008,Student 8,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:03:23Z,08:03,0,Happy,0.83,0.93,0.87,Absent,FALSE,TRUE,10,mock_video,EduPulse_v1.0
9,S009,Student 9,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:02:49Z,08:02,0,Neutral,0.81,0.65,0.94,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
10,S010,Student 10,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:00:12Z,08:00,0,Confused,0.8,0.37,0.84,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
11,S011,Student 11,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:02:34Z,08:02,0,Neutral,0.8,0.65,0.85,Absent,FALSE,TRUE,5,mock_video,EduPulse_v1.0
12,S012,Student 12,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:02:49Z,08:02,0,Neutral,0.89,0.6,0.83,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
13,S013,Student 13,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:04:39Z,08:04,0,Neutral,0.77,0.58,0.83,Absent,FALSE,TRUE,5,mock_video,EduPulse_v1.0
14,S014,Student 14,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:03:07Z,08:03,0,Bored,0.93,0.18,0.86,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
15,S015,Student 15,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:03:39Z,08:03,0,Neutral,0.8,0.64,0.94,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
16,S016,Student 16,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:02:40Z,08:02,0,Happy,0.75,0.96,0.86,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
17,S017,Student 17,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:02:03Z,08:02,0,Happy,0.75,0.93,0.89,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
18,S018,Student 18,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:01:10Z,08:01,0,Happy,0.89,0.98,0.92,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
19,S019,Student 19,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:02:53Z,08:02,0,Happy,0.97,0.96,0.93,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
20,S020,Student 20,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:02:19Z,08:02,0,Confused,0.78,0.44,0.65,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
21,S001,Linda,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:05:44Z,08:05,5,Confused,0.93,0.45,0.93,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
22,S002,Rawan,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:05:56Z,08:05,5,Happy,0.83,0.99,0.84,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
23,S003,Student 3,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:05:59Z,08:05,5,Neutral,0.78,0.67,0.79,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
24,S004,Student 4,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:08:38Z,08:08,5,Happy,0.79,0.94,0.64,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
25,S005,Student 5,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:07:57Z,08:07,5,Happy,0.85,0.95,0.65,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
26,S006,Student 6,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:08:42Z,08:08,5,Confused,0.93,0.47,0.71,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
27,S007,Student 7,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:08:55Z,08:08,5,Happy,0.97,0.99,0.7,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
28,S008,Student 8,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:08:42Z,08:08,5,Neutral,0.78,0.58,0.79,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
29,S009,Student 9,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:07:12Z,08:07,5,Happy,0.96,0.95,0.75,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
30,S010,Student 10,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:06:40Z,08:06,5,Bored,0.87,0.17,0.79,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
31,S011,Student 11,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:09:27Z,08:09,5,Neutral,0.86,0.7,0.72,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
32,S012,Student 12,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:06:32Z,08:06,5,Happy,0.79,0.96,0.71,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
33,S013,Student 13,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:05:05Z,08:05,5,Neutral,0.76,0.62,0.66,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
34,S014,Student 14,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:05:20Z,08:05,5,Bored,0.94,0.13,0.79,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
35,S015,Student 15,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:05:44Z,08:05,5,Happy,0.77,0.91,0.77,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
36,S016,Student 16,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:05:06Z,08:05,5,Happy,0.98,0.93,0.69,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
37,S017,Student 17,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:05:36Z,08:05,5,Confused,0.78,0.4,0.82,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
38,S018,Student 18,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:09:37Z,08:09,5,Neutral,0.98,0.65,0.9,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
39,S019,Student 19,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:06:41Z,08:06,5,Confused,0.78,0.44,0.65,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
40,S020,Student 20,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:09:54Z,08:09,5,Neutral,0.85,0.65,0.76,Absent,FALSE,TRUE,15,mock_video,EduPulse_v1.0
41,S001,Linda,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:13:39Z,08:13,10,Neutral,0.79,0.65,0.72,Absent,FALSE,TRUE,15,mock_video,EduPulse_v1.0
42,S002,Rawan,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:10:43Z,08:10,10,Neutral,0.84,0.63,0.86,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
43,S003,Student 3,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:14:39Z,08:14,10,Neutral,0.87,0.64,0.71,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
44,S004,Student 4,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:12:29Z,08:12,10,Neutral,0.79,0.63,0.64,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
45,S005,Student 5,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:14:57Z,08:14,10,Neutral,0.8,0.72,0.83,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
46,S006,Student 6,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:11:47Z,08:11,10,Happy,0.84,0.9,0.8,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
47,S007,Student 7,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:11:59Z,08:11,10,Confused,0.92,0.43,0.6,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
48,S008,Student 8,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:12:02Z,08:12,10,Happy,0.87,0.95,0.89,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
49,S009,Student 9,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:11:52Z,08:11,10,Neutral,0.94,0.63,0.61,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
50,S010,Student 10,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:13:41Z,08:13,10,Confused,0.97,0.39,0.63,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
51,S011,Student 11,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:13:15Z,08:13,10,Happy,0.91,1,0.76,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
52,S012,Student 12,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:11:57Z,08:11,10,Neutral,0.99,0.67,0.82,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
53,S013,Student 13,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:14:49Z,08:14,10,Neutral,0.77,0.63,0.64,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
54,S014,Student 14,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:11:49Z,08:11,10,Neutral,0.78,0.57,0.8,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
55,S015,Student 15,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:10:25Z,08:10,10,Neutral,0.89,0.7,0.94,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
